"dist_name","stop_id","stop_name","stop_lat","stop_lon","the_geom"
"Upper North","25","Roosevelt Blvd & 5th St",40.024267,-75.133011,"0101000020E610000087C0914083C852C09FAF592E1B034440"
"Upper North","77","Ogontz Av & 69th Av",40.059883,-75.150213,"0101000020E6100000C79BFC169DC952C00E4B033FAA074440"
"Upper North","78","Ogontz Av & Haines St",40.058542,-75.149331,"0101000020E6100000DB519CA38EC952C0A2B8E34D7E074440"
"Upper North","79","Ogontz Av & 66th Av",40.054794,-75.149784,"0101000020E6100000B35DA10F96C952C02E02637D03074440"
"Upper North","80","Ogontz Av & Stenton Av",40.051743,-75.150221,"0101000020E6100000098B8A389DC952C00266BE839F064440"
"Upper North","82","Olney Transportation Center - BSL",40.039066,-75.144749,"0101000020E61000003D484F9143C952C059315C1D00054440"
"Upper North","84","Ogontz Av & Chelten Av - FS",40.051743,-75.150068,"0101000020E6100000460BD0B69AC952C00266BE839F064440"
"Upper North","85","Ogontz Av & 66th Av",40.054562,-75.149655,"0101000020E6100000B4AB90F293C952C05BCD3AE3FB064440"
"Upper North","86","Ogontz Av & Haines St",40.058354,-75.149155,"0101000020E61000003BC269C18BC952C09FCBD42478074440"
"Upper North","113","Fisher Av & Rising Sun Av - FS",40.030329,-75.118658,"0101000020E6100000295AB91798C752C0698F17D2E1034440"
"Upper North","114","Tabor Rd & 5th St",40.034731,-75.130721,"0101000020E6100000A0F99CBB5DC852C02594BE1072044440"
"Upper North","117","Tabor Rd & 5th St ",40.034723,-75.13104,"0101000020E6100000F19D98F562C852C0A2B5A2CD71044440"
"Upper North","118","Fisher Av & Rising Sun Av",40.030195,-75.118635,"0101000020E61000004D4A41B797C752C059C0046EDD034440"
"Upper North","119","C St & Roosevelt Blvd",40.026943,-75.117407,"0101000020E61000009354A69883C752C096ED43DE72034440"
"Upper North","124","Roosevelt Blvd & C St",40.026924,-75.117076,"0101000020E610000060C9552C7EC752C01FBDE13E72034440"
"Upper North","132","Roosevelt Blvd & Mascher St",40.02573,-75.125203,"0101000020E61000001C97715303C852C05743E21E4B034440"
"Upper North","137","Roosevelt Blvd & 2nd St",40.025319,-75.127547,"0101000020E6100000FD6CE4BA29C852C0D57B2AA73D034440"
"Upper North","160","Roosevelt Blvd & 6th St",40.023791,-75.135223,"0101000020E6100000B0AA5E7EA7C852C036785F950B034440"
"Upper North","174","Roosevelt Blvd & 7th St - FS",40.02301,-75.137307,"0101000020E6100000C3A04CA3C9C852C090BDDEFDF1024440"
"Upper North","204","Roosevelt Blvd & 9th St",40.021873,-75.139558,"0101000020E61000004A79AD84EEC852C02CD505BCCC024440"
"Upper North","207","Lindley Av & 5th St",40.028835,-75.132058,"0101000020E610000036CB65A373C852C076FD82DDB0034440"
"Upper North","208","Lindley Av & Broad St",40.03059,-75.146367,"0101000020E6100000AC8DB1135EC952C0D5CA845FEA034440"
"Upper North","214","Lindley Av & 16th St",40.031009,-75.149888,"0101000020E61000000684D6C397C952C0DA70581AF8034440"
"Upper North","215","Lindley Av & Broad St ",40.030591,-75.146722,"0101000020E6100000A3E6ABE463C952C0A646E867EA034440"
"Upper North","216","Lindley Av & 5th St",40.028737,-75.132283,"0101000020E610000046B41D5377C852C0B3976DA7AD034440"
"Upper North","222","66th Av & Broad St ",40.053633,-75.141321,"0101000020E61000003C4F3C670BC952C0417E3672DD064440"
"Upper North","229","66th Av & Old York Rd",40.05359,-75.141972,"0101000020E6100000A73CBA1116C952C042B28009DC064440"
"Upper North","232","Wister St & Chelten Av",40.051857,-75.157718,"0101000020E610000065FF3C0D18CA52C0CA880B40A3064440"
"Upper North","235","Rodney St & Mt Airy Av",40.071217,-75.179256,"0101000020E6100000276728EE78CB52C0A9F57EA31D094440"
"Upper North","256","Roosevelt Blvd & 5th St - FS",40.024144,-75.133579,"0101000020E6100000AC1BEF8E8CC852C083328D2617034440"
"Upper North","369","Michener Av & Wadsworth Av - FS",40.078775,-75.173929,"0101000020E6100000DDB419A721CB52C0075F984C150A4440"
"Upper North","370","Upsal St & Mansfield Av",40.063656,-75.16982,"0101000020E61000003B8DB454DECA52C0DB183BE125084440"
"Upper North","372","Olney Av & Broad St",40.03903,-75.144962,"0101000020E61000006B4AB20E47C952C00CC85EEFFE044440"
"Upper North","373","Olney Av & Broad St - FS east",40.038922,-75.144289,"0101000020E61000000B0BEE073CC952C0268C6665FB044440"
"Upper North","379","Rising Sun Av & Olney Av",40.034523,-75.114951,"0101000020E61000001F69705B5BC752C0DBFAE93F6B044440"
"Upper North","381","Olney Av & 13th St",40.038623,-75.142493,"0101000020E61000002CBAF59A1EC952C0CCEF3499F1044440"
"Upper North","382","Olney Transportation Center - onsit",40.038725,-75.144207,"0101000020E6100000AC36FFAF3AC952C0D044D8F0F4044440"
"Upper North","383","Upsal St & Mansfield St",40.063433,-75.16988,"0101000020E6100000A60F5D50DFCA52C05C3E92921E084440"
"Upper North","384","Michener Av & Wadsworth Av ",40.078926,-75.173952,"0101000020E6100000B9C4910722CB52C0ED66463F1A0A4440"
"Upper North","722","Godfrey Loop - FS",40.046292,-75.127989,"0101000020E6100000DB4FC6F830C852C0810871E5EC054440"
"Upper North","744","5th St & Godfrey Av",40.045552,-75.128429,"0101000020E6100000E9B6442E38C852C03A22DFA5D4054440"
"Upper North","841","Fern Rock Transportation Center",40.04194,-75.13697,"0101000020E61000001FA2D11DC4C852C07632384A5E054440"
"Upper North","842","Godfrey Av & 5th St",40.045606,-75.128607,"0101000020E610000059C2DA183BC852C02D40DB6AD6054440"
"Upper North","843","Cheltenham Av & 2nd St - FS",40.05276,-75.121566,"0101000020E61000008E93C2BCC7C752C0BB44F5D6C0064440"
"Upper North","844","Olney Av & Rising Sun Av Loop",40.03414,-75.115425,"0101000020E610000003098A1F63C752C023BE13B35E044440"
"Upper North","864","2nd St & Cheltenham Av - FS",40.052704,-75.122321,"0101000020E61000004CA7751BD4C752C0272F3201BF064440"
"Upper North","865","Godfrey Av & 5th St",40.045694,-75.128287,"0101000020E61000002060ADDA35C852C0CCCF0D4DD9054440"
"Upper North","1003","Oak Lane & Cheltenham Av",40.054567,-75.125045,"0101000020E6100000D061BEBC00C852C06D382C0DFC064440"
"Upper North","1042","Wyoming Av & Broad St",40.024605,-75.147691,"0101000020E610000077BAF3C473C952C0B728B34126034440"
"Upper North","1045","Wyoming Av & Broad St ",40.024552,-75.148247,"0101000020E6100000BA2EFCE07CC952C094861A8524034440"
"Upper North","1272","Logan Station - BSL",40.030618,-75.14658,"0101000020E6100000DA8F149161C952C09F55664AEB034440"
"Upper North","1273","Wyoming Station - BSL",40.02456,-75.147904,"0101000020E6100000A5BC564277C952C0176536C824034440"
"Upper North","1350","Andrews Av & Cheltenham Av ",40.068304,-75.148323,"0101000020E6100000A88FC01F7EC952C0CE177B2FBE084440"
