"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272","dist","category"
"31613","Germantown Av & Erie Av",40.009403,-75.150954,NULL,NULL,1,1,"0101000020E6100000D34CF73AA9C952C0FDBD141E34014440","0101000020E0080000D34CF73AA9C952C0FDBD141E34014440",49.827843286571884,"intersection"
"21261","Erie Av & Germantown Av ",40.009233,-75.150671,NULL,NULL,1,1,"0101000020E6100000295DFA97A4C952C0A185048C2E014440","0101000020E0080000295DFA97A4C952C0A185048C2E014440",54.57017800749145,"intersection"
"30285","Broad St & Erie Av - FS",40.009395,-75.151107,NULL,NULL,1,1,"0101000020E610000096CCB1BCABC952C07ADFF8DA33014440","0101000020E008000096CCB1BCABC952C07ADFF8DA33014440",81.16694765662041,"intersection"
"32152","Erie Station - BSL",40.009234,-75.151155,NULL,NULL,50,2,"0101000020E61000001F680586ACC952C0710168942E014440","0101000020E00800001F680586ACC952C0710168942E014440",87.99264195975879,"intersection"
"1188","Germantown Av & Erie Av",40.009019,-75.15066,NULL,NULL,1,1,"0101000020E61000002F34D769A4C952C07505DB8827014440","0101000020E00800002F34D769A4C952C07505DB8827014440",112.80264264069235,"intersection"
"140","Erie Station - BSL",40.009234,-75.15125,NULL,NULL,50,2,"0101000020E610000048E17A14AEC952C0710168942E014440","0101000020E008000048E17A14AEC952C0710168942E014440",114.00502168138445,"intersection"
"29964","Broad St & Erie Av",40.009368,-75.151261,NULL,NULL,1,1,"0101000020E6100000420A9E42AEC952C081D07AF832014440","0101000020E0080000420A9E42AEC952C081D07AF832014440",118.39461440057336,"intersection"
"21260","Erie Av & Broad St",40.009208,-75.151439,NULL,NULL,1,1,"0101000020E6100000B115342DB1C952C0486E4DBA2D014440","0101000020E0080000B115342DB1C952C0486E4DBA2D014440",167.78704675409875,"intersection"
"32424","Erie Av & Broad St - XH FS",40.00936,-75.151722,NULL,NULL,1,1,"0101000020E61000005C0531D0B5C952C0FEF15EB532014440","0101000020E00800005C0531D0B5C952C0FEF15EB532014440",245.50092381230343,"intersection"
"17419","Erie Av & Elder St - FS",40.009053,-75.149844,NULL,NULL,1,1,"0101000020E61000001EE0490B97C952C0217711A628014440","0101000020E00800001EE0490B97C952C0217711A628014440",294.9629387280397,"intersection"
"21224","Germantown Av & Broad St",40.010136,-75.151187,NULL,NULL,1,1,"0101000020E610000024253D0CADC952C09241EE224C014440","0101000020E008000024253D0CADC952C09241EE224C014440",321.6169880061153,"intersection"
"1343","Erie Av & Broad St - H FS",40.009406,-75.152053,NULL,NULL,1,1,"0101000020E61000008E90813CBBC952C06E313F3734014440","0101000020E00800008E90813CBBC952C06E313F3734014440",339.517597659005,"intersection"
