"stop_id","stop_name","stop_lat","stop_lon","location_type","parent_station","zone_id","wheelchair_boarding","the_geom","the_geom_2272"
"19","Roosevelt Blvd & Comly Rd",40.105172,-75.001575,NULL,NULL,1,1,"0101000020E6100000705F07CE19C052C03B3AAE46760D4440","0101000020E0080000705F07CE19C052C03B3AAE46760D4440"
"21","Roosevelt Blvd & Solly Av - FS",40.058873,-75.045067,NULL,NULL,1,1,"0101000020E61000003FC8B260E2C252C007CF842689074440","0101000020E00800003FC8B260E2C252C007CF842689074440"
"22","Roosevelt Blvd & Cottman Av",40.044862,-75.05453,NULL,NULL,1,1,"0101000020E6100000A8A9656B7DC352C0A56ABB09BE054440","0101000020E0080000A8A9656B7DC352C0A56ABB09BE054440"
"23","Roosevelt Blvd & Pratt St - FS",40.029006,-75.090599,NULL,NULL,1,1,"0101000020E61000003883BF5FCCC552C0A3B1F677B6034440","0101000020E00800003883BF5FCCC552C0A3B1F677B6034440"
"24","Roosevelt Blvd & Tower Blvd - FS",40.029484,-75.101085,NULL,NULL,1,1,"0101000020E61000006F47382D78C652C0ACE0B721C6034440","0101000020E00800006F47382D78C652C0ACE0B721C6034440"
"25","Roosevelt Blvd & 5th St",40.024267,-75.133011,NULL,NULL,1,1,"0101000020E610000087C0914083C852C09FAF592E1B034440","0101000020E008000087C0914083C852C09FAF592E1B034440"
"28","Wissahickon Transportation Center - onsite",40.014897,-75.20724,NULL,NULL,1,1,"0101000020E6100000139B8F6B43CD52C07DE71725E8014440","0101000020E0080000139B8F6B43CD52C07DE71725E8014440"
"30","Pulaski Av & Pike St",40.013264,-75.157404,NULL,NULL,1,1,"0101000020E61000009D103AE812CA52C0691B7FA2B2014440","0101000020E00800009D103AE812CA52C0691B7FA2B2014440"
"31","17th St & Huntingdon St",39.993099,-75.159784,NULL,NULL,1,1,"0101000020E6100000249BABE639CA52C05C5837DE1DFF4340","0101000020E0080000249BABE639CA52C05C5837DE1DFF4340"
"32","17th St & Girard Av",39.972153,-75.164352,NULL,NULL,1,1,"0101000020E61000000F4240BE84CA52C0A9DA6E826FFC4340","0101000020E00800000F4240BE84CA52C0A9DA6E826FFC4340"
"33","17th St & Spring Garden St",39.963223,-75.166334,NULL,NULL,1,1,"0101000020E6100000A08D5C37A5CA52C0A4E029E44AFB4340","0101000020E0080000A08D5C37A5CA52C0A4E029E44AFB4340"
"34","17th St & Market St",39.953124,-75.168473,NULL,NULL,1,1,"0101000020E61000009450FA42C8CA52C030849CF7FFF94340","0101000020E00800009450FA42C8CA52C030849CF7FFF94340"
"35","17th St & Pine St",39.946264,-75.169997,NULL,NULL,1,1,"0101000020E6100000C2DA183BE1CA52C0EAB0C22D1FF94340","0101000020E0080000C2DA183BE1CA52C0EAB0C22D1FF94340"
"36","17th St & Washington Av",39.938592,-75.171655,NULL,NULL,1,1,"0101000020E610000079CC4065FCCA52C0C4245CC823F84340","0101000020E008000079CC4065FCCA52C0C4245CC823F84340"
"37","17th St & Snyder Av",39.925122,-75.174548,NULL,NULL,1,1,"0101000020E610000043E55FCB2BCB52C0B267CF656AF64340","0101000020E008000043E55FCB2BCB52C0B267CF656AF64340"
"38","19th St & Moyamensing Av",39.91428,-75.179732,NULL,NULL,1,1,"0101000020E6100000DC82A5BA80CB52C085B1852007F54340","0101000020E0080000DC82A5BA80CB52C085B1852007F54340"
"39","20th St & Johnston St ",39.916809,-75.181282,NULL,NULL,1,1,"0101000020E61000009F56D11F9ACB52C0D8D64FFF59F54340","0101000020E00800009F56D11F9ACB52C0D8D64FFF59F54340"
"40","20th St & Johnston St",39.916621,-75.181094,NULL,NULL,1,1,"0101000020E61000001EE0490B97CB52C0D5E940D653F54340","0101000020E00800001EE0490B97CB52C0D5E940D653F54340"
"41","16th St & Snyder Av",39.924771,-75.17292,NULL,NULL,1,1,"0101000020E6100000C2340C1F11CB52C005A568E55EF64340","0101000020E0080000C2340C1F11CB52C005A568E55EF64340"
"42","16th St & Washington Av",39.938196,-75.169968,NULL,NULL,1,1,"0101000020E6100000755776C1E0CA52C0779E78CE16F84340","0101000020E0080000755776C1E0CA52C0779E78CE16F84340"
"43","16th St & Pine St ",39.945904,-75.168287,NULL,NULL,1,1,"0101000020E6100000E355D636C5CA52C0EA93DC6113F94340","0101000020E0080000E355D636C5CA52C0EA93DC6113F94340"
"45","16th St & Girard Av",39.971737,-75.162628,NULL,NULL,1,1,"0101000020E61000007D5A457F68CA52C015A8C5E061FC4340","0101000020E00800007D5A457F68CA52C015A8C5E061FC4340"
"46","Huntingdon St & 16th St - FS",39.992882,-75.158379,NULL,NULL,1,1,"0101000020E6100000E257ACE122CA52C0BF64E3C116FF4340","0101000020E0080000E257ACE122CA52C0BF64E3C116FF4340"
"47","17th St & Lehigh Av",39.994391,-75.159341,NULL,NULL,1,1,"0101000020E61000005DFA97A432CA52C0E7374C3448FF4340","0101000020E00800005DFA97A432CA52C0E7374C3448FF4340"
"48","Hunting Park Av & Pulaski Av",40.013935,-75.157992,NULL,NULL,1,1,"0101000020E6100000E5417A8A1CCA52C087A2409FC8014440","0101000020E0080000E5417A8A1CCA52C087A2409FC8014440"
"51","Kensington Av & Allegheny Av",39.996774,-75.113084,NULL,NULL,1,1,"0101000020E6100000DB6CACC43CC752C066C0594A96FF4340","0101000020E0080000DB6CACC43CC752C066C0594A96FF4340"
"52","Front St & Dauphin St",39.984888,-75.132205,NULL,NULL,1,1,"0101000020E610000088D7F50B76C852C0861C5BCF10FE4340","0101000020E008000088D7F50B76C852C0861C5BCF10FE4340"
"53","Cecil B Moore Av & Broad St ",39.978707,-75.157724,NULL,NULL,1,1,"0101000020E6100000D672672618CA52C0E2AE5E4546FD4340","0101000020E0080000D672672618CA52C0E2AE5E4546FD4340"
"54","Cecil B Moore Av & 20th St",39.979941,-75.167253,NULL,NULL,1,1,"0101000020E61000001B4AED45B4CA52C03881E9B46EFD4340","0101000020E00800001B4AED45B4CA52C03881E9B46EFD4340"
"55","33rd St & Cecil B Moore Av Loop",39.982394,-75.188946,NULL,NULL,1,1,"0101000020E610000071ADF6B017CC52C0B0E42A16BFFD4340","0101000020E008000071ADF6B017CC52C0B0E42A16BFFD4340"
"57","Cecil B Moore Av & 20th St ",39.979853,-75.167513,NULL,NULL,1,1,"0101000020E6100000E9297288B8CA52C099F1B6D26BFD4340","0101000020E0080000E9297288B8CA52C099F1B6D26BFD4340"
"58","Cecil B Moore Av & Broad St ",39.978618,-75.157972,NULL,NULL,1,1,"0101000020E6100000C26B97361CCA52C072A3C85A43FD4340","0101000020E0080000C26B97361CCA52C072A3C85A43FD4340"
"60","Allegheny Station - MFL",39.996471,-75.11344,NULL,NULL,50,1,"0101000020E6100000BA83D89942C752C0CA349A5C8CFF4340","0101000020E0080000BA83D89942C752C0CA349A5C8CFF4340"
"61","Frankford Transportation Center - MFL",40.022929,-75.077861,NULL,NULL,50,1,"0101000020E61000009128B4ACFBC452C0A3906456EF024440","0101000020E00800009128B4ACFBC452C0A3906456EF024440"
"64","Frankford Av & Torresdale Av",40.006135,-75.09183,NULL,NULL,1,1,"0101000020E6100000ABB2EF8AE0C552C0342E1C08C9004440","0101000020E0080000ABB2EF8AE0C552C0342E1C08C9004440"
"65","Frankford Av & Lehigh Av",39.987122,-75.122366,NULL,NULL,1,1,"0101000020E61000001C0934D8D4C752C0C09481035AFE4340","0101000020E00800001C0934D8D4C752C0C09481035AFE4340"
"67","2nd St & Green St",39.961017,-75.141445,NULL,NULL,1,1,"0101000020E6100000B24B546F0DC952C034F3E49A02FB4340","0101000020E0080000B24B546F0DC952C034F3E49A02FB4340"
"69","Front St & Market St Loop",39.949765,-75.142317,NULL,NULL,1,1,"0101000020E61000008D2AC3B81BC952C056F146E691F94340","0101000020E00800008D2AC3B81BC952C056F146E691F94340"
"70","3rd St & Spring Garden St",39.960629,-75.14336,NULL,NULL,1,1,"0101000020E61000007EE36BCF2CC952C06A4B1DE4F5FA4340","0101000020E00800007EE36BCF2CC952C06A4B1DE4F5FA4340"
"72","Frankford Av & Lehigh Av ",39.986944,-75.12239,NULL,NULL,1,1,"0101000020E6100000E0D6DD3CD5C752C0E17D552E54FE4340","0101000020E0080000E0D6DD3CD5C752C0E17D552E54FE4340"
