stop_namecleanstop_name,Total Avg. Ons,Total Avg. Offs,Overall Mean Avg. Ons,Overall Mean Avg. Offs,stop_lat,stop_lon
10 Campus Blvd - FS,0.111111111111111,0.0,0.0555555555555555,0.0,39.976832,-75.416319
1000 Tinicum Island Rd,0.181818181818182,1.11363636363636,0.090909090909091,0.55681818181818,39.870136,-75.27083
1000 Tinicum Island Rd - MBNS,0.294117647058824,0.0,0.147058823529412,0.0,39.871082,-75.271347
10th & Main St,0.333333333333333,0.1,0.1666666666666665,0.05,40.193253,-75.529552
10th Av & Church St,0.4,2.066666666666667,0.2,1.0333333333333334,40.19402,-75.530418
10th Av & Royersford Rd,0.1,0.2,0.05,0.1,40.19534,-75.53164
10th St & Bigler St,0.4750830564784057,0.8737541528239199,0.23754152823920285,0.43687707641195994,39.913563,-75.165174
10th St & Bigler St ,1.0,0.95,0.5,0.475,39.913224,-75.165066
10th St & Butler St,0.0454545454545455,0.0,0.02272727272727275,0.0,40.00987,-75.143896
10th St & Butler St ,0.181818181818182,0.0,0.090909090909091,0.0,40.010039,-75.144026
10th St & Champlost St,0.2,0.277777777777778,0.1,0.138888888888889,40.043383,-75.136596
10th St & Church St,0.818181818181818,1.90909090909091,0.409090909090909,0.954545454545455,39.820545,-75.415535
10th St & Church St - FS,0.2,0.0,0.1,0.0,39.820402,-75.415583
10th St & Clarkson Av,0.0571428571428571,0.257142857142857,0.02857142857142855,0.1285714285714285,40.035972,-75.138365
10th St & Cumberland St ,0.0,2.0,0.0,1.0,39.990102,-75.148418
10th St & Dauphin St ,0.166666666666667,0.0833333333333333,0.0833333333333335,0.04166666666666665,39.987122,-75.149067
10th St & Duncannon Av,0.557142857142857,1.31428571428571,0.2785714285714285,0.657142857142855,40.031351,-75.139389
10th St & Erie Av,3.281818181818182,1.1454545454545455,1.640909090909091,0.5727272727272728,40.008505,-75.144374
10th St & Erie Av - FS,0.75,0.0,0.375,0.0,40.008505,-75.144233
10th St & Fisher Av - FS,0.0285714285714286,0.171428571428571,0.0142857142857143,0.0857142857142855,40.032743,-75.139088
10th St & Godfrey Av,0.45714285714285696,0.119047619047619,0.22857142857142848,0.0595238095238095,40.046132,-75.135995
10th St & Johnston St ,0.0,0.0,0.0,0.0,39.914714,-75.164895
10th St & Lindley Av,0.0,0.0833333333333333,0.0,0.04166666666666665,40.029799,-75.139726
10th St & Luzern St,1.75,2.6875,0.875,1.34375,40.013028,-75.143411
10th St & Luzerne St ,1.011363636363636,0.556818181818182,0.505681818181818,0.278409090909091,40.012795,-75.143258
10th St & Main St,0.625,0.9375,0.3125,0.46875,39.920121,-75.263141
10th St & Market St,0.16233766233766228,0.642857142857143,0.08116883116883114,0.3214285714285715,39.820072,-75.417127
10th St & Mulberry Av ,0.769230769230769,0.307692307692308,0.3846153846153845,0.153846153846154,39.923621,-75.257349
10th St & Olney Av ,0.333333333333333,0.0,0.1666666666666665,0.0,40.037622,-75.138016
10th St & Oregon Av ,0.0,0.0,0.0,0.0,39.915775,-75.164501
10th St & Packer Av,0.5,0.176470588235294,0.25,0.088235294117647,39.91086,-75.165723
10th St & Packer Av - FS,1.0588235294117647,1.960784313725494,0.5294117647058824,0.980392156862747,39.911225,-75.165473
10th St & Pike St,0.0,0.617647058823529,0.0,0.15441176470588225,40.0114085,-75.1436475
10th St & Plaza Dr,0.0,0.0,0.0,0.0,39.821588,-75.412341
10th St & Plaza Dr - FS,0.647058823529412,0.294117647058824,0.323529411764706,0.147058823529412,39.821472,-75.412305
10th St & Ridge Av ,0.0769230769230769,0.692307692307692,0.03846153846153845,0.346153846153846,39.921306,-75.261462
10th St & Rockland St,0.0833333333333333,0.0833333333333333,0.04166666666666665,0.04166666666666665,40.026819,-75.140377
10th St & Ruscomb St,0.166666666666667,0.666666666666667,0.0833333333333335,0.3333333333333335,40.0283,-75.14004
10th St & Spencer St,0.266666666666667,0.176470588235294,0.1333333333333335,0.088235294117647,40.044946,-75.136224
10th St & Summit St,0.363636363636364,0.0909090909090909,0.181818181818182,0.04545454545454545,39.922553,-75.259641
10th St & Susquehanna Av ,0.416666666666667,0.0,0.2083333333333335,0.0,39.985517,-75.149416
10th St & Tabor Rd,0.314285714285714,1.08571428571429,0.157142857142857,0.542857142857145,40.036837,-75.138185
10th St & Wagner Av ,0.1,0.8,0.05,0.4,40.034217,-75.139886
10th St & Wagner Av - FS,0.314285714285714,0.857142857142857,0.157142857142857,0.4285714285714285,40.034173,-75.140028
10th St & Wycombe Av ,0.272727272727273,0.272727272727273,0.1363636363636365,0.1363636363636365,39.923096,-75.258471
10th St & Yates Av,0.647058823529412,0.688235294117647,0.323529411764706,0.3441176470588235,39.820991,-75.413779
10th St & Yates Av - FS,0.64935064935065,1.3051948051948008,0.324675324675325,0.6525974025974004,39.821107,-75.413897
10th St & York St ,0.5,0.0,0.25,0.0,39.988594,-75.148754
11 Campus Blvd,0.114285714285714,0.2336134453781511,0.057142857142857,0.11680672268907555,39.977591,-75.414192
11 Campus Blvd - FS,0.222222222222222,0.0,0.111111111111111,0.0,39.977029,-75.416744
11th St & 65th Av,0.0909090909090909,0.2909090909090909,0.022727272727272724,0.07272727272727272,40.051445,-75.1370255
