cleanstop_name,Total Avg. Ons,Total Avg. Offs,Overall Mean Avg. Ons,Overall Mean Avg. Offs,stop_lat,stop_lon,Area
BroadStErieAv,2.8692810457516322,2.5294117647058822,1.4346405228758161,1.2647058823529411,40.009368,-75.151261,BGE
BroadStErieAvFS,0.6,1.733333333333333,0.3,0.8666666666666665,40.009395,-75.151107,BGE
ErieAvBroadSt,4.36111111111111,2.05555555555556,2.180555555555555,1.02777777777778,40.009208,-75.151439,BGE
ErieAvBroadStHFS,3.9821428571428603,2.0714285714285703,1.9910714285714302,1.0357142857142851,40.009406,-75.152053,BGE
ErieAvBroadStXHFS,4.046153846153846,2.292307692307692,2.023076923076923,1.146153846153846,40.00936,-75.151722,BGE
ErieAvElderStFS,6.88095238095238,4.0,3.44047619047619,2.0,40.009053,-75.149844,BGE
ErieAvGermantownAv,0.7,2.5,0.35,1.25,40.009233,-75.150671,BGE
ErieStationBSL,1.859243697478992,4.960084033613447,0.464810924369748,1.2400210084033618,40.009234,-75.15120250000001,BGE
GermantownAvBroadSt,3.05769230769231,2.9038461538461497,1.528846153846155,1.4519230769230749,40.010136,-75.151187,BGE
GermantownAvErieAv,2.057104660045837,3.995416348357519,0.5142761650114592,0.9988540870893797,40.009211,-75.150807,BGE
AbbottDrOpp,0.5,0.357142857142857,0.5,0.357142857142857,39.960287,-75.335847,North
AbbottDrSussexBlvd,2.83333333333333,0.285714285714286,1.416666666666665,0.142857142857143,39.959103,-75.340501,North
AcademyRdGrantAvFS,1.925,0.0,0.9625,0.0,40.069027,-75.007883,North
AcademyRdOutlookAv,0.235294117647059,0.235294117647059,0.235294117647059,0.235294117647059,40.059875,-75.009403,North
AdamsRdAdamsCr,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,40.108736,-74.923006,North
AdamsRdByberryRd,0.0,0.222222222222222,0.0,0.222222222222222,40.110117,-74.926665,North
AdamsRdFordRdFS,0.0,0.0,0.0,0.0,40.106406,-74.920679,North
AirportRdAmericanBlvdFS,0.0588235294117647,0.176470588235294,0.0588235294117647,0.176470588235294,39.99341,-75.57753,North
AlanWoodRdRidgePkMBNS,0.2,0.0,0.2,0.0,40.10056,-75.301783,North
AlgonAvBorbeckAvFS,0.0,0.0,0.0,0.0,40.063041,-75.06605,North
AlgonAvHellermanSt,3.84893267651888,2.63300492610838,1.92446633825944,1.31650246305419,40.044852500000005,-75.083766,North
AlgonAvLevickSt,0.0689655172413793,0.310344827586207,0.0689655172413793,0.310344827586207,40.043896,-75.085042,North
AlgonAvLevickStFS,0.0,0.0238095238095238,0.0,0.0238095238095238,40.043869,-75.084865,North
AlgonAvMageeAv,0.738095238095238,1.0,0.738095238095238,1.0,40.045915,-75.082348,North
AlgonAvMageeAvFS,0.103448275862069,0.241379310344828,0.103448275862069,0.241379310344828,40.045951,-75.08249,North
AlleghenyAvASt,0.0526315789473684,0.125,0.0263157894736842,0.0625,39.998344,-75.127245,North
AlleghenyAvAlmondSt,0.105263157894737,0.0,0.0526315789473685,0.0,39.985522,-75.103611,North
AlleghenyAvAmberSt,0.6875,1.5,0.6875,1.5,39.99216,-75.109678,North
AlleghenyAvAramingoAv,0.730263157894737,0.0,0.3651315789473685,0.0,39.988501,-75.106244,North
AlleghenyAvBSt,1.6776315789473684,0.125,0.8388157894736842,0.0625,39.998098,-75.125273,North
AlleghenyAvBathSt,0.352941176470588,0.117647058823529,0.352941176470588,0.117647058823529,39.980933,-75.099568,North
AlleghenyAvBelgradeSt,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0526315789473684,39.986264,-75.104258,North
AlleghenyAvCSt,0.5,0.2,0.5,0.2,39.997798,-75.123112,North
AlleghenyAvCollinsSt,0.0,0.0,0.0,0.0,39.99165,-75.109042,North
AlleghenyAvDSt,0.0,0.0,0.0,0.0,39.997562,-75.121163,North
AlleghenyAvESt,1.85,0.4,1.85,0.4,39.997316,-75.119226,North
AlleghenyAvFSt,0.25,0.15,0.25,0.15,39.99707,-75.117301,North
